country_alpha,loc_code,year,n,tradagg_mean,survsagg_mean
DEU,276004,2018,153,1.7149574265488967,2.9193715993101295
DEU,276004,2013,137,1.2944309546472768,2.068038047438548
DEU,276004,2006,88,2.257113405216373,1.9984506564422218
DEU,276004,1997,243,2.5025132386946938,1.8512719802237227
DEU,276005,2013,195,1.4288872100725476,1.1154749790756049
DEU,276005,2006,156,2.0696517440472215,1.06844496142859
DEU,276005,1997,126,2.737078277637789,1.0505543786829672
DEU,276033,2018,66,0.818248301881906,1.4802021750524839
DEU,276034,2018,92,1.6882100726413203,2.60756168143511
DOM,214001,1996,129,-0.9328022988921677,-0.32456051538692904
DOM,214002,1996,87,-1.1866700887380544,0.030405827641124736
DZA,2,2014,154,-0.7093087595205878,-0.8307333444923836
DZA,12001,2014,62,-0.921855178448766,-0.6795426721322326
DZA,12001,2002,273,-1.4307685114571804,-1.1159176375278772
DZA,12003,2002,87,-1.3843537091262363,-1.0738577039804833
DZA,12006,2014,60,-1.00735588629683,-0.6125253484611478
ECU,4,2018,56,-1.4434841575631174,-0.050251614896839145
ECU,4,2013,243,-1.8216680672013694,-0.3640717280075703
ECU,7,2013,63,-1.5757160934633598,-0.30269584419148304
ECU,218001,2018,297,-1.9077678110297787,0.16123260140393045
ECU,218001,2013,646,-1.7495714855435527,-0.18920932610379226
ECU,218014,2018,129,-1.8548132570557985,-0.0673126803776395
ECU,218014,2013,140,-1.7424580795385214,-0.06085093546479411
ECU,218019,2018,62,-1.8697236717676173,-0.3414694900043806
EGY,2,2001,1244,-1.3212369589254926,-0.9140862285057093
EGY,8,2001,313,-1.4983289815326006,-0.6205811605324055
EGY,818001,2001,1096,-1.6609914064096594,-0.49765902089157893
EGY,818002,2001,58,-1.3513430978180094,-0.6289024935295696
ESP,2,2011,156,1.0114635977840563,0.5139825798033579
ESP,2,2007,113,0.3027505836270577,0.22431031311822458
ESP,2,2000,100,0.3651797737890609,0.8284718689051681
ESP,2,1995,126,-0.12294368780544852,0.47423390823901523
ESP,2,1990,111,0.5818674160434829,0.07600772425991018
ESP,724001,2011,163,0.3342549220323058,0.7117903670967688
ESP,724001,2007,387,0.3711443970152607,1.1694023843846333
ESP,724001,2000,232,0.08916602538427007,0.8254179879480046
ESP,724001,1995,187,-0.606358254752999,0.33144592295221414
ESP,724001,1990,253,0.06972774139836979,0.08555328995668196
ESP,724002,2011,228,-0.054835122801354,0.23844907867714935
ESP,724002,2007,209,-0.4708263320631309,0.41433548420485394
ESP,724002,2000,242,-0.3987354048722489,0.45557475115764484
ESP,724002,1995,214,-0.8611039396621917,0.37391056011367296
ESP,724002,1990,90,-0.7008883504477321,-0.27595852954141525
ESP,724003,2000,60,1.0514493963756806,1.5730986255353117
ESP,724003,1995,80,0.8173298009693335,1.5755870679002129
ESP,724003,1990,80,1.2134581060982947,1.5164048904017506
EST,5,2011,59,1.1928047630681238,-0.17865399758588785
EST,233002,2011,305,1.441234008856882,-1.1420517247960478
EST,233002,1996,63,1.3900548060089681,-0.5399275820674752
EST,233005,1996,55,1.431710038545455,-1.1341330752441627
EST,233008,2011,180,0.9218662674768641,0.2492535619820906
EST,233008,1996,90,1.6687915565574125,-0.19415301306069088
EST,233014,1996,60,1.633809781003611,-0.951460391050696
EST,233030,2011,134,0.8709793502252348,0.3301301333525617
EST,233031,2011,187,1.2543531535881103,0.06556000561164312
EST,233035,1996,50,1.012440730159228,-1.1457727430423976
ETH,231005,2020,67,-1.2233140534346385,-1.2322541163837089
ETH,231008,2007,313,-0.45733178120792733,-0.790245245129857
ETH,231010,2007,58,-0.0067110358472790175,-1.8291791964445794
ETH,231011,2007,111,-1.3103970771217779,0.08226419494537945
ETH,231028,2020,503,-1.468161758266698,-0.8320035244370263
ETH,231033,2020,91,-1.2327286823696635,-1.1942935752857307
FIN,2,2005,60,0.6576131882858237,0.5330233821926885
FIN,2,1996,51,1.0393017508514604,0.9831284853465376
FIN,246001,2005,203,0.5168326118680104,1.7472214778768715
FIN,246001,1996,182,0.5704347788626832,1.0443568320206988
FIN,246002,2005,180,0.03079351702044175,1.1617979129139913
FIN,246002,1996,136,0.22528632183753497,0.8681082020430502
FIN,246003,2005,128,0.43506149973830005,1.6622981866073736
FIN,246003,1996,93,0.22845114173922118,1.8241659063885791
FIN,246004,2005,52,0.8250781211867297,2.039401799668649
FIN,246006,2005,83,1.0621234458815503,2.8300147204674
FIN,246006,1996,84,0.9114993803130554,2.0907137863605834
GBR,4,2022,184,1.1337031845103562,1.5480586862485903
GBR,826001,2022,463,0.0931133195424956,2.3635877418111364
GBR,826002,2022,573,1.3423676008224863,2.198381972366748
GBR,826003,2022,186,1.1656143321479913,2.8487699621524594
GBR,826006,2022,122,1.8672264717828158,2.1146782933677013
GBR,826009,2022,138,1.8745825145151362,2.5261806791821275
GEO,2,2014,65,-0.5764668079250652,-1.5005667571586878
GEO,2,2009,94,-0.8515298872155844,-1.3459281790296866
GEO,4,2014,75,-0.5631086175409203,-1.5491641666075326
GEO,268002,1996,98,0.07569461259260944,-0.9059528266343846
GEO,268003,1996,151,0.1953761918244733,-1.761753224319139
GEO,268005,1996,373,-0.17959059379227554,-0.9604941901752797
GEO,268012,1996,82,-0.2582545509487198,-1.0365747009329827
GEO,268013,1996,370,-0.2390832044085971,-1.140856819606504
GEO,268101,2014,97,-0.6287730896557822,-1.5582131444077658
GEO,268101,2009,291,-0.8024689467962388,-1.333925083366166
GEO,268108,2009,54,-0.4503544780631961,-1.530266191033452
GEO,268123,2014,233,-1.0269629769048627,-1.251474599788566
GHA,4,2012,343,-1.99386818915863,-0.8202470438675916
GHA,288001,2012,463,-1.9413058701846193,-0.9622626618049055
GHA,288001,2007,322,-1.561420104407813,-0.8134548395649289
GHA,288002,2012,668,-1.756311122087096,-1.0024643953241692
GHA,288002,2007,692,-1.9496493979052487,-0.673842630921604
GHA,288003,2012,63,-1.9484120395584983,-0.5650842760263711
GRC,2,2017,124,0.2090667870034647,-0.47262889137051484
GRC,3,2017,62,0.40342026217039273,0.04253625204564563
GRC,300002,2017,197,-0.21359154909150233,-0.3702732961808462
